queueId,priority,scenarioGroup,scenarioId,scenarioName,seedId,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,expectedFinalTime,paperUse,notes,batchId,modelMode,modelModeName,baselineFamily,rerunScope,requiresModelModeSupport,analysisRole,plannedUse,replacementForHistory
V3-E0-1-seed23,1,E0,E0-1,无干预基准情景,23,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed24,1,E0,E0-1,无干预基准情景,24,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed25,1,E0,E0-1,无干预基准情景,25,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed26,1,E0,E0-1,无干预基准情景,26,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed27,1,E0,E0-1,无干预基准情景,27,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed28,1,E0,E0-1,无干预基准情景,28,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed29,1,E0,E0-1,无干预基准情景,29,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-1-seed30,1,E0,E0-1,无干预基准情景,30,30,false,false,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,主表基准; 复现现有论文结果,已有 seed=1 的 180h 完整结果可先复用；其余 seed 继续补齐。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed01,1,E0,E0-2,T=15 双轨辟谣干预,1,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed02,1,E0,E0-2,T=15 双轨辟谣干预,2,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed03,1,E0,E0-2,T=15 双轨辟谣干预,3,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed04,1,E0,E0-2,T=15 双轨辟谣干预,4,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed05,1,E0,E0-2,T=15 双轨辟谣干预,5,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed06,1,E0,E0-2,T=15 双轨辟谣干预,6,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed07,1,E0,E0-2,T=15 双轨辟谣干预,7,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed08,1,E0,E0-2,T=15 双轨辟谣干预,8,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed09,1,E0,E0-2,T=15 双轨辟谣干预,9,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed10,1,E0,E0-2,T=15 双轨辟谣干预,10,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed11,1,E0,E0-2,T=15 双轨辟谣干预,11,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed12,1,E0,E0-2,T=15 双轨辟谣干预,12,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed13,1,E0,E0-2,T=15 双轨辟谣干预,13,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed14,1,E0,E0-2,T=15 双轨辟谣干预,14,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed15,1,E0,E0-2,T=15 双轨辟谣干预,15,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed16,1,E0,E0-2,T=15 双轨辟谣干预,16,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
V3-E0-2-seed17,1,E0,E0-2,T=15 双轨辟谣干预,17,15,true,true,4,6,0.1,10,10,35,5,0.05,0.15,2,30,4,180,早期干预对比,与 T=30/T=60 比较峰值和累计传播者人时。,SCI_V3_FULL_RERUN_20260613,0,coupled_seirg_full,full_model,master_thesis_full_rerun,false,primary_reproduction,复现硕士论文既有场景，并作为 SCI v3 主模型比较基准。,true
