priority,scenarioGroup,enableOnlineIntervention,enableOfflineIntervention,initialOnlineSeeds,initialOfflineSeeds,expectedFinalTime,paperUse,notes,batchId,modelMode,modelModeName,baselineFamily,requiresModelModeSupport,analysisRole,queueId,scenarioId,scenarioName,seedId,sensitivityDesign,sensitivitySampleId,sensitivitySeedReplicate,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,pRewire,kOnline,kOffline,interventionStartTime
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M005-seed07,MORRIS_M005,MORRIS 参数样本 M005,7,MORRIS,M005,7,38.0,5.2,0.02,0.23,1.0,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M005-seed13,MORRIS_M005,MORRIS 参数样本 M005,13,MORRIS,M005,13,38.0,5.2,0.02,0.23,1.0,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M005-seed19,MORRIS_M005,MORRIS 参数样本 M005,19,MORRIS,M005,19,38.0,5.2,0.02,0.23,1.0,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M005-seed25,MORRIS_M005,MORRIS 参数样本 M005,25,MORRIS,M005,25,38.0,5.2,0.02,0.23,1.0,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M006-seed01,MORRIS_M006,MORRIS 参数样本 M006,1,MORRIS,M006,1,38.0,5.2,0.02,0.23,3.4,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M006-seed07,MORRIS_M006,MORRIS 参数样本 M006,7,MORRIS,M006,7,38.0,5.2,0.02,0.23,3.4,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M006-seed13,MORRIS_M006,MORRIS 参数样本 M006,13,MORRIS,M006,13,38.0,5.2,0.02,0.23,3.4,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M006-seed19,MORRIS_M006,MORRIS 参数样本 M006,19,MORRIS,M006,19,38.0,5.2,0.02,0.23,3.4,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M006-seed25,MORRIS_M006,MORRIS 参数样本 M006,25,MORRIS,M006,25,38.0,5.2,0.02,0.23,3.4,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M007-seed01,MORRIS_M007,MORRIS 参数样本 M007,1,MORRIS,M007,1,38.0,5.2,0.08,0.23,3.4,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M007-seed07,MORRIS_M007,MORRIS 参数样本 M007,7,MORRIS,M007,7,38.0,5.2,0.08,0.23,3.4,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M007-seed13,MORRIS_M007,MORRIS 参数样本 M007,13,MORRIS,M007,13,38.0,5.2,0.08,0.23,3.4,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M007-seed19,MORRIS_M007,MORRIS 参数样本 M007,19,MORRIS,M007,19,38.0,5.2,0.08,0.23,3.4,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M007-seed25,MORRIS_M007,MORRIS 参数样本 M007,25,MORRIS,M007,25,38.0,5.2,0.08,0.23,3.4,16.6,4.1,0.068,5,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M008-seed01,MORRIS_M008,MORRIS 参数样本 M008,1,MORRIS,M008,1,38.0,5.2,0.08,0.23,3.4,16.6,4.1,0.068,9,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M008-seed07,MORRIS_M008,MORRIS 参数样本 M008,7,MORRIS,M008,7,38.0,5.2,0.08,0.23,3.4,16.6,4.1,0.068,9,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M008-seed13,MORRIS_M008,MORRIS 参数样本 M008,13,MORRIS,M008,13,38.0,5.2,0.08,0.23,3.4,16.6,4.1,0.068,9,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M008-seed19,MORRIS_M008,MORRIS 参数样本 M008,19,MORRIS,M008,19,38.0,5.2,0.08,0.23,3.4,16.6,4.1,0.068,9,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M008-seed25,MORRIS_M008,MORRIS 参数样本 M008,25,MORRIS,M008,25,38.0,5.2,0.08,0.23,3.4,16.6,4.1,0.068,9,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M009-seed01,MORRIS_M009,MORRIS 参数样本 M009,1,MORRIS,M009,1,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.068,9,4,50
S,SCI_v3_global_sensitivity,true,true,10,10,180,SCI v3 全局敏感性分析,modelMode=0 完整耦合 SEIRG 模型；用于验证结论对参数扰动的稳健性。,SCI_V3_GLOBAL_SENSITIVITY_20260613,0,coupled_seirg_full,full_model,false,global_sensitivity,MORRIS-M009-seed07,MORRIS_M009,MORRIS 参数样本 M009,7,MORRIS,M009,7,38.0,10.0,0.08,0.23,3.4,16.6,4.1,0.068,9,4,50
