t,S,E,I1,I2,R,G1,G2,I_total,G_total,h
73.10000000000001,0.42584988027516385,0.042943037972140254,0.045168075911820676,0.013710624832136573,0.29306036636171773,0.10077376220560039,0.07849425244142044,0.05887870074395725,0.17926801464702083,1.0
73.15,0.4256861069938242,0.04287769146133355,0.04511136942098431,0.013692413833578823,0.2932230001088801,0.10085645026671827,0.07855296791468085,0.05880378325456313,0.1794094181813991,1.0
73.2,0.42552305778331706,0.04281239808273619,0.045054648071551566,0.013674202756654088,0.2933851650432425,0.10093897175519072,0.07861155650730792,0.058728850828205656,0.17955052826249862,1.0
73.25,0.42536073145411585,0.04274715817211042,0.04499791238332572,0.013655991755765838,0.2935468612939436,0.10102132668384305,0.07867001825689565,0.05865390413909156,0.17969134494073868,1.0
73.3,0.4251991268158422,0.04268197206279214,0.04494116287429134,0.01363778098468916,0.2937080889936359,0.10110351506679621,0.07872835320195318,0.0585789438589805,0.1798318682687494,1.0
73.35000000000001,0.42503824267728657,0.04261684008569729,0.04488440006061133,0.01361957059657027,0.29386884827847204,0.1011855369194619,0.07878656138190072,0.0585039706571816,0.17997209830136263,1.0
73.4,0.4248780778464283,0.04255176256932828,0.04482762445662402,0.013601360743926018,0.2940291392880904,0.10126739225853759,0.07884464283706558,0.05842898520055004,0.18011203509560317,1.0
73.45,0.4247186311304556,0.04248673983978041,0.04477083657484032,0.013583151578643435,0.29418896216560075,0.1013490811020016,0.07890259760867802,0.058353988153483756,0.1802516787106796,1.0
73.5,0.42455990133578586,0.042421772220748374,0.04471403692594099,0.013564943251979301,0.29434831705757025,0.1014306034691081,0.07896042573886727,0.05827898017792029,0.18039102920797537,1.0
73.55,0.42440188726808514,0.04235686003353281,0.044657226018773914,0.013546735914559729,0.2945072041140089,0.10151195938038221,0.07901812727065749,0.058203961933333645,0.1805300866510397,1.0
73.60000000000001,0.424244587732288,0.04229200359704683,0.044600404360351495,0.013528529716379772,0.29466562348835523,0.101593148857615,0.07907570224796363,0.05812893407673127,0.18066885110557862,1.0
73.65,0.4240880015326176,0.04222720322782265,0.04454357245584813,0.013510324806803075,0.29482357533746245,0.1016741719238586,0.07913315071558752,0.0580538972626512,0.1808073226394461,1.0
73.7,0.42393212747260445,0.04216245924001816,0.044486730808597684,0.013492121334561506,0.2949810598215835,0.10175502860342106,0.07919047271921366,0.05797885214315919,0.1809455013226347,1.0
73.75,0.42377696435510637,0.04209777194542364,0.044429879920091134,0.013473919447754857,0.29513807710435724,0.10183571892186152,0.07924766830540526,0.05790379936784599,0.1810833872272668,1.0
73.8,0.42362251098232767,0.04203314165346845,0.04437302028997418,0.013455719293850532,0.2952946273527938,0.1019162429059852,0.07930473752160017,0.057828739583824715,0.18122098042758536,1.0
73.85000000000001,0.4234687661558384,0.04196856867122773,0.044316152416045015,0.013437521019683284,0.2954507107372605,0.10199660058383833,0.07936168041610679,0.0577536734357283,0.1813582809999451,1.0
