runId,enableOfflineIntervention,enableOnlineIntervention,forgetTime,govForgetTime,initialOfflineSeeds,initialOnlineSeeds,interventionStartTime,kOffline,kOnline,latentTime,modelMode,offlineGovEffect,offlineRate,onlineGovEffect,onlineRate,pRewire,parameterFile,seedId
M0_T15_onfalse_offtrue_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362908826,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362908826.csv,21
M0_T15_onfalse_offtrue_seed22_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362927460,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed22_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362927460.csv,22
M0_T15_onfalse_offtrue_seed22_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362938775,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed22_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362938775.csv,22
M0_T15_onfalse_offtrue_seed23_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362956889,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed23_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362956889.csv,23
M0_T15_onfalse_offtrue_seed23_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362967709,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed23_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362967709.csv,23
M0_T15_onfalse_offtrue_seed24_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362986781,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed24_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362986781.csv,24
M0_T15_onfalse_offtrue_seed24_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362998100,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed24_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362998100.csv,24
M0_T15_onfalse_offtrue_seed25_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363020076,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed25_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363020076.csv,25
M0_T15_onfalse_offtrue_seed25_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363032075,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed25_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363032075.csv,25
M0_T15_onfalse_offtrue_seed26_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363054956,true,false,30.0,4.0,10,10,15.0,4,6,2.0,0,0.15,5.0,0.05,35.0,0.1,parameter_master_M0_T15_onfalse_offtrue_seed26_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363054956.csv,26
