runId,rawFile,seedId,modelMode,interventionStartTime,enableOnlineIntervention,enableOfflineIntervention,kOffline,kOnline,pRewire,initialOnlineSeeds,initialOfflineSeeds,onlineRate,offlineRate,onlineGovEffect,offlineGovEffect,latentTime,forgetTime,govForgetTime,rowCount,durationHours,runCompleted,usedForScenarioStats,duplicateSeedPolicy,metricScope,populationInitial,populationFinal,populationMin,populationMax,populationConstant,I1Peak,I1PeakTime,I2Peak,I2PeakTime,totalInfectedPeak,totalInfectedPeakTime,EPeak,EPeakTime,G1Peak,G1PeakTime,G2Peak,G2PeakTime,cumulativeInfectedPersonHours_right,cumulativeInfectedPersonHours_trapezoid,finalS,finalE,finalI1,finalI2,finalG1,finalG2,finalR,anylogicSummaryAvailable
M0_T15_onfalse_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362867094,raw_timeseries_M0_T15_onfalse_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362867094.csv,20,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,492,29,225,27,712,27,76,17,0,0,514,107,24424,24424,25,0,0,0,0,2,973,true
M0_T15_onfalse_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362878542,raw_timeseries_M0_T15_onfalse_offtrue_seed20_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362878542.csv,20,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,118,117,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,492,29,225,27,712,27,76,17,0,0,514,107,24423,24422.5,8,0,0,1,0,473,518,false
M0_T15_onfalse_offtrue_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362897625,raw_timeseries_M0_T15_onfalse_offtrue_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362897625.csv,21,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,499,28,194,27,692,28,83,16,0,0,507,102,24093,24093,14,0,0,0,0,5,981,true
M0_T15_onfalse_offtrue_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362908826,raw_timeseries_M0_T15_onfalse_offtrue_seed21_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362908826.csv,21,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,124,123,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,499,28,194,27,692,28,83,16,0,0,507,102,24093,24093,2,0,0,0,0,385,613,false
M0_T15_onfalse_offtrue_seed22_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362927460,raw_timeseries_M0_T15_onfalse_offtrue_seed22_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362927460.csv,22,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,577,22,219,22,796,22,106,15,0,0,502,96,26213,26213,6,0,0,0,0,4,990,true
M0_T15_onfalse_offtrue_seed22_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362938775,raw_timeseries_M0_T15_onfalse_offtrue_seed22_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362938775.csv,22,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,125,124,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,577,22,219,22,796,22,106,15,0,0,502,96,26182,26181,0,0,1,1,0,335,663,false
M0_T15_onfalse_offtrue_seed23_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362956889,raw_timeseries_M0_T15_onfalse_offtrue_seed23_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362956889.csv,23,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,501,27,161,28,659,27,78,15,0,0,568,105,22606,22606,13,0,0,0,0,3,984,true
M0_T15_onfalse_offtrue_seed23_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362967709,raw_timeseries_M0_T15_onfalse_offtrue_seed23_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362967709.csv,23,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,127,126,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,501,27,161,28,659,27,78,15,0,0,568,105,22605,22604.5,1,0,0,1,0,393,605,false
M0_T15_onfalse_offtrue_seed24_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362986781,raw_timeseries_M0_T15_onfalse_offtrue_seed24_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362986781.csv,24,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,534,24,203,25,736,24,79,12,0,0,511,108,24073,24073,18,0,0,0,0,7,975,true
M0_T15_onfalse_offtrue_seed24_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362998100,raw_timeseries_M0_T15_onfalse_offtrue_seed24_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781362998100.csv,24,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,124,123,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,534,24,203,25,736,24,79,12,0,0,511,108,24073,24073,9,0,0,0,0,397,594,false
M0_T15_onfalse_offtrue_seed25_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363020076,raw_timeseries_M0_T15_onfalse_offtrue_seed25_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363020076.csv,25,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,542,25,195,22,734,25,82,16,0,0,478,111,25330,25330,20,0,0,0,0,7,973,true
M0_T15_onfalse_offtrue_seed25_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363032075,raw_timeseries_M0_T15_onfalse_offtrue_seed25_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363032075.csv,25,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,119,118,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,542,25,195,22,734,25,82,16,0,0,478,111,25330,25330,14,0,0,0,0,429,557,false
M0_T15_onfalse_offtrue_seed26_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363054956,raw_timeseries_M0_T15_onfalse_offtrue_seed26_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363054956.csv,26,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,506,26,228,26,734,26,78,16,0,0,505,102,25675,25675,7,0,0,0,0,5,988,true
M0_T15_onfalse_offtrue_seed26_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363066646,raw_timeseries_M0_T15_onfalse_offtrue_seed26_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363066646.csv,26,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,113,112,false,false,partial/debug run excluded,partial_debug_run,1000,1000,1000,1000,true,506,26,228,26,734,26,78,16,0,0,505,102,25656,25655,0,0,2,0,0,499,499,false
M0_T15_onfalse_offtrue_seed27_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363089258,raw_timeseries_M0_T15_onfalse_offtrue_seed27_kon6_koff4_rewire0p1_or35p0_fr5p0_gOn0p05_gOff0p15_1781363089258.csv,27,0,15.0,false,true,4,6,0.1,10,10,35.0,5.0,0.05,0.15,2.0,30.0,4.0,181,180,true,true,unique seed run,full_0_180h,1000,1000,1000,1000,true,553,24,214,23,761,23,103,14,0,0,497,105,25657,25657,15,0,0,0,0,1,984,true
